"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/25/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/26/2020","AirNow","060690002","3","1.7","ug/m3 LC","7","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/27/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/28/2020","AirNow","060690002","3","4.5","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/29/2020","AirNow","060690002","3","10.4","ug/m3 LC","43","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/30/2020","AirNow","060690002","3","6.8","ug/m3 LC","28","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/31/2020","AirNow","060690002","3","8.3","ug/m3 LC","35","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/01/2020","AirNow","060690002","3","10.1","ug/m3 LC","42","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/02/2020","AirNow","060690002","3","8.9","ug/m3 LC","37","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/03/2020","AirNow","060690002","3","3.1","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/04/2020","AirNow","060690002","3","2.3","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/05/2020","AirNow","060690002","3","4.5","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/06/2020","AirNow","060690002","3","5.8","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/07/2020","AirNow","060690002","3","9.5","ug/m3 LC","40","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/08/2020","AirNow","060690002","3","11","ug/m3 LC","46","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/09/2020","AirNow","060690002","3","4.9","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/10/2020","AirNow","060690002","3","2.2","ug/m3 LC","9","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/11/2020","AirNow","060690002","3","3.1","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/12/2020","AirNow","060690002","3","3.8","ug/m3 LC","16","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/13/2020","AirNow","060690002","3","7.2","ug/m3 LC","30","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/14/2020","AirNow","060690002","3","8","ug/m3 LC","33","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/15/2020","AirNow","060690002","3","8.3","ug/m3 LC","35","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/16/2020","AirNow","060690002","3","7.4","ug/m3 LC","31","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/17/2020","AirNow","060690002","3","5.5","ug/m3 LC","23","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/18/2020","AirNow","060690002","3","6.5","ug/m3 LC","27","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/19/2020","AirNow","060690002","3","7.5","ug/m3 LC","31","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/20/2020","AirNow","060690002","3","5.7","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/21/2020","AirNow","060690002","3","10.2","ug/m3 LC","43","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/22/2020","AirNow","060690002","3","9","ug/m3 LC","38","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/23/2020","AirNow","060690002","3","4.8","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/24/2020","AirNow","060690002","3","6.1","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/25/2020","AirNow","060690002","3","5.1","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/26/2020","AirNow","060690002","3","4.2","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/27/2020","AirNow","060690002","3","6.7","ug/m3 LC","28","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/28/2020","AirNow","060690002","3","7.9","ug/m3 LC","33","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"02/29/2020","AirNow","060690002","3","11.2","ug/m3 LC","47","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/01/2020","AirNow","060690002","3","5.2","ug/m3 LC","22","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/02/2020","AirNow","060690002","3","3.1","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/03/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/04/2020","AirNow","060690002","3","6.8","ug/m3 LC","28","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/05/2020","AirNow","060690002","3","8.3","ug/m3 LC","35","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/06/2020","AirNow","060690002","3","5.8","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/07/2020","AirNow","060690002","3","1.4","ug/m3 LC","6","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/08/2020","AirNow","060690002","3","1.8","ug/m3 LC","8","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/09/2020","AirNow","060690002","3","4.1","ug/m3 LC","17","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/10/2020","AirNow","060690002","3","5.2","ug/m3 LC","22","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/11/2020","AirNow","060690002","3","1.2","ug/m3 LC","5","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/12/2020","AirNow","060690002","3","5.1","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/13/2020","AirNow","060690002","3","7.9","ug/m3 LC","33","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/14/2020","AirNow","060690002","3","4.4","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/15/2020","AirNow","060690002","3","0.9","ug/m3 LC","4","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/16/2020","AirNow","060690002","3","2.6","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/17/2020","AirNow","060690002","3","2.3","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/18/2020","AirNow","060690002","3","3.1","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/19/2020","AirNow","060690002","3","3.7","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/20/2020","AirNow","060690002","3","3.2","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/21/2020","AirNow","060690002","3","2.7","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/22/2020","AirNow","060690002","3","3.8","ug/m3 LC","16","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/23/2020","AirNow","060690002","3","3.6","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/24/2020","AirNow","060690002","3","3.5","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/25/2020","AirNow","060690002","3","1.7","ug/m3 LC","7","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/27/2020","AirNow","060690002","3","5.5","ug/m3 LC","23","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/28/2020","AirNow","060690002","3","9.5","ug/m3 LC","40","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/29/2020","AirNow","060690002","3","4.9","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/30/2020","AirNow","060690002","3","2.4","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/31/2020","AirNow","060690002","3","4.3","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/01/2020","AirNow","060690002","3","4.7","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/02/2020","AirNow","060690002","3","4.2","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/03/2020","AirNow","060690002","3","3.9","ug/m3 LC","16","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/04/2020","AirNow","060690002","3","2.7","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/05/2020","AirNow","060690002","3","1.1","ug/m3 LC","5","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/06/2020","AirNow","060690002","3","1.9","ug/m3 LC","8","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/08/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/09/2020","AirNow","060690002","3","2.3","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/10/2020","AirNow","060690002","3","4.1","ug/m3 LC","17","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/11/2020","AirNow","060690002","3","6.1","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/12/2020","AirNow","060690002","3","4.6","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/13/2020","AirNow","060690002","3","8.4","ug/m3 LC","35","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/14/2020","AirNow","060690002","3","7.3","ug/m3 LC","30","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/15/2020","AirNow","060690002","3","5.9","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/16/2020","AirNow","060690002","3","4.1","ug/m3 LC","17","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/17/2020","AirNow","060690002","3","3.7","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/18/2020","AirNow","060690002","3","5.7","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/19/2020","AirNow","060690002","3","4.7","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/20/2020","AirNow","060690002","3","5.4","ug/m3 LC","23","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/21/2020","AirNow","060690002","3","5.9","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/22/2020","AirNow","060690002","3","5.4","ug/m3 LC","23","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/23/2020","AirNow","060690002","3","4.2","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/24/2020","AirNow","060690002","3","6.1","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/25/2020","AirNow","060690002","3","6.5","ug/m3 LC","27","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/26/2020","AirNow","060690002","3","4.7","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/27/2020","AirNow","060690002","3","5.7","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/28/2020","AirNow","060690002","3","4.1","ug/m3 LC","17","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/29/2020","AirNow","060690002","3","4.7","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/30/2020","AirNow","060690002","3","4.8","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"05/01/2020","AirNow","060690002","3","6.2","ug/m3 LC","26","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
